id,title,description,link,image_link,availability,price,sale_price,brand,condition,google_product_category,product_type,identifier_exists,gtin,mpn,material,color,shipping_weight
GVn16,Venedik Şekerlik Küçük Boy,"Venedik Gümüş Kaplama Şekerlik, özel davet sofraları, seçkin sunumlar ve şık yaşam alanları için tasarlandı. Salon, yemek masası, kahve köşesi veya konsol dekorasyonunda sofistike bir atmosfer oluşturan Venedik Şekerlik, hem işlevsel hem de dekoratif kullanım sunar. Prestijli hediye alternatifleri arasında yer alan bu özel tasarım; lüks ev dekorasyonu, klasik aksesuar ve seçkin sunum ürünleri arayanlar için ideal seçimdir. Ürün Ölçüleri: Çap:10,5cm Yükseklik: 5,5cm",https://www.laledevri.com.tr/shop/venedik-sekerlik-kucuk-boy/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0006.jpg,in stock,5676.00 TRY,,Lale Devri,new,3498,Venice > Glassware and Bowls,no,,,Silver Plated,,
GS39,Safiye Sultan Kare Peçetelik Gümüş Kaplama,"Safiye Sultan Kare Peçetelik, şık formu ve göz alıcı gümüş kaplama yüzeyi sayesinde peçete sunumlarını estetik bir detay haline getirirken sofralara prestijli bir görünüm kazandırır. Düğün, nişan, söz, gala daveti, özel yemek organizasyonları ve premium otel sunumlarında sofistike bir atmosfer oluşturur. Ürün Ölçüleri Yükseklik: 17 cm En: 17 cm",https://www.laledevri.com.tr/shop/safiye-sultan-kare-pecetelik-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0007.jpg,in stock,15738.00 TRY,,Lale Devri,new,6324,Safiye Sultan > Napkin Holders,no,,,Silver Plated,,
CPO2A,Saray Kulplu Altın Çay Bardağı,"Klasik çay sunumunu adeta bir sanat eserine dönüştürüyor. Özenle işlenmiş altın rengi desenleri ve estetik kulp detayı ile bu özel tasarım, hem günlük kullanım hem de seçkin davet sofraları için kusursuz bir tercih sunar. Geleneksel Türk çay kültürünü modern ve lüks bir yorumla buluşturan bu bardak, sofralarınıza prestij katmak için tasarlandı. Sevdiklerinize sunacağınız çayın değerini artıran bu özel seri, aynı zamanda şık bir hediye alternatifi olarak da öne çıkar.",https://www.laledevri.com.tr/shop/saray-kulplu-altin-cay-bardagi/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0008.jpg,in stock,7826.00 TRY,,Lale Devri,new,6049,Saray > Tea Cup,no,,,Glass,Gold,
CPO1A,Saray Altın Çay Bardağı,Saray Altın Çay Bardağı,https://www.laledevri.com.tr/shop/saray-altin-cay-bardagi/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0009.jpg,in stock,7568.00 TRY,,Lale Devri,new,6049,Saray > Tea Cup,no,,,Glass,Gold,
CK03A,Kelebek Altın Mırra,Kelebek koleksiyonundan Altın Mırra. Sofralarınıza şıklık katın. Ürün Ölçüleri Yükseklik: 5 cm Çap: 6 cm Ağırlık: 44 gr Hacim: 45 cc,https://www.laledevri.com.tr/shop/kelebek-altin-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0010.jpg,in stock,3698.00 TRY,,Lale Devri,new,6049,Kelebek > Mirra,no,,,Glass,Gold,
Cİ05P,Heybeli İpekyolu Platin Çay Bardağı,"Heybeli İpekyolu koleksiyonundan Platin Çay Bardağı. Sofralarınıza şıklık katın. Ürün Ölçüleri Yükseklik: 9 cm Çap: 5,5 cm Ağırlık: 104 gr Hacim: 132 cc",https://www.laledevri.com.tr/shop/heybeli-ipekyolu-platin-cay-bardagi/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0011.jpg,in stock,12599.00 TRY,,Lale Devri,new,6049,ipekyolu > Tea Cup,no,,,Glass,,
CS17,Sitare Su Damlası Mırra,Gelenekten ilham alan yıldız dokunuşu… Misafir ağırlamanın en özel anları için seçkin bir dokunuş… ✨ Ürün Ölçüleri Yükseklik: 5 cm Çap: 6 cm Ağırlık: 44 gr Hacim: 45 cc,https://www.laledevri.com.tr/shop/sitare-su-damlasi-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0012.jpg,in stock,1204.00 TRY,,Lale Devri,new,6049,Sitare > Mirra,no,,,Glass,,
CS16,Sitare Kalp Mırra,Gelenekten ilham alan yıldız dokunuşu… Misafir ağırlamanın en özel anları için seçkin bir dokunuş… ✨ Ürün Ölçüleri Yükseklik: 5 cm Çap: 6 cm Ağırlık: 44 gr Hacim: 45 cc,https://www.laledevri.com.tr/shop/sitare-kalp-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0013.jpg,in stock,1204.00 TRY,,Lale Devri,new,6049,Sitare > Mirra,no,,,Glass,,
GVn15,Venedik Şekerlik Orta Boy,"Venedik Gümüş Kaplama Şekerlik, özel davet sofraları, seçkin sunumlar ve şık yaşam alanları için tasarlandı. Salon, yemek masası, kahve köşesi veya konsol dekorasyonunda sofistike bir atmosfer oluşturan Venedik Şekerlik, hem işlevsel hem de dekoratif kullanım sunar. Prestijli hediye alternatifleri arasında yer alan bu özel tasarım; lüks ev dekorasyonu, klasik aksesuar ve seçkin sunum ürünleri arayanlar için ideal seçimdir. Ürün Ölçüleri: Çap:12cm Yükseklik: 7cm",https://www.laledevri.com.tr/shop/venedik-sekerlik-orta-boy/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0014.jpg,in stock,7353.00 TRY,,Lale Devri,new,3498,Venice > Glassware and Bowls,no,,,Silver Plated,,
GVn03,Venedik Tencere Servis Kapaklı 28cm,"Venedik Gümüş Kaplama Tencere Kapaklı Servis, şık sofralar ve profesyonel sunumlar için tasarlanmış premium bir servis ürünüdür. Geniş hacmi sıcak yemek, ana yemek ve özel sunumların estetik şekilde servis edilmesine olanak sağlar. Kapaklı yapısı yemeklerin sıcaklığını korurken aynı zamanda hijyenik ve düzenli bir kullanım sunar. Lüks restoranlar, oteller ve üst segment yaşam alanları için hem dekoratif hem fonksiyonel bir tamamlayıcıdır.",https://www.laledevri.com.tr/shop/venedik-tencere-servis-kapakli-28cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0016.jpg,in stock,24123.00 TRY,,Lale Devri,new,3802,Venice > Serving Plates,no,,,Silver Plated,,
wc-5001,Başak Kare Amerikan Servis,"40x40cm boyutunda, siyah ketenden üretilmiş Amerikan Servis. Kusursuz dikişleriyle sofranıza zamansız bir zarafet kazandırır. Seçkin masa düzenleri ve özel davetler için ideal bir tercihtir.",https://www.laledevri.com.tr/shop/basak-kare-amerikan-servis/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0043.jpg,in stock,1720.00 TRY,,Lale Devri,new,2547,Placemats,no,,,Cotton,,
wc-4991,Seda Yuvarlak Amerikan Servis,"D.40cm ebatında, ketenden üretilmiş Amerikan Servis. Gümüş rengi nakış detayı ve kusursuz dikişleriyle sofranıza zamansız bir zarafet kazandırır. Seçkin masa düzenleri ve özel davetler için ideal bir tercihtir.",https://www.laledevri.com.tr/shop/seda-yuvarlak-amerikan-servis/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0043.jpg,in stock,1720.00 TRY,,Lale Devri,new,2547,Placemats,no,,,Cotton,,
wc-4981,Kumsal Kare Amerikan Servis,"40x40cm boyutunda, ketenden üretilmiş Amerikan Servis. Ekru rengi nakış detayı ve kusursuz dikişleriyle sofranıza zamansız bir zarafet kazandırır. Seçkin masa düzenleri ve özel davetler için ideal bir tercihtir.",https://www.laledevri.com.tr/shop/kumsal-kare-amerikan-servis/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0046.jpg,in stock,1075.00 TRY,,Lale Devri,new,2547,Placemats,no,,,Cotton,,
GT25,Paris Tepsi 45x31cm,"Gümüş kaplama tepsi, geniş yüzeyi (45x31cm) ile ihtişamlı sunumlar için tasarlanmıştır. Kalabalık davet sofralarında, özel organizasyonlarda veya seçkin sunumlarda fark yaratmak isteyenler için ideal olan bu büyük boy tepsi; geniş hacmi sayesinde birden fazla ürünü şık bir şekilde sunma imkanı sağlar. Klasik zarafeti modern dokunuşlarla birleştiren tasarımı, lüks yaşam alanlarına güçlü bir karakter kazandırır.",https://www.laledevri.com.tr/shop/paris-tepsi-45x31cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0021.jpg,in stock,33540.00 TRY,,Lale Devri,new,4009,Paris > Serving Trays,no,,,Silver Plated,,
GT23,Paris Tepsi 22x32cm,"Özel davetlerde, kahve sunumlarında veya dekoratif amaçlı kullanımda fark yaratan bu tepsi; zamansız tasarımı sayesinde klasik ve modern dekorasyonlarla kusursuz uyum sağlar. Bu özel tasarım gümüş kaplama tepsi, sofistike yaşam alanlarına estetik bir dokunuş katmak için tasarlanmıştır.",https://www.laledevri.com.tr/shop/paris-tepsi-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0022.jpg,in stock,19909.00 TRY,,Lale Devri,new,4009,Paris > Serving Trays,no,,,Silver Plated,,
GT20,Paris Tepsi 20x20cm,"Özel davetlerde, kahve sunumlarında veya dekoratif amaçlı kullanımda fark yaratan bu tepsi; zamansız tasarımı sayesinde klasik ve modern dekorasyonlarla kusursuz uyum sağlar. Bu özel tasarım gümüş kaplama tepsi, sofistike yaşam alanlarına estetik bir dokunuş katmak için tasarlanmıştır.",https://www.laledevri.com.tr/shop/paris-tepsi-20x20cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0023.jpg,in stock,11739.00 TRY,,Lale Devri,new,4009,Paris > Serving Trays,no,,,Silver Plated,,
GTÇ5,Vektörel Çelik Tepsi 22x32cm,Vektörel Çelik Tepsi 22x32cm,https://www.laledevri.com.tr/shop/vektorel-celik-tepsi-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0024.jpg,in stock,1677.00 TRY,,Lale Devri,new,4009,,no,,,Stainless Steel,,
GTÇ6,Vektörel Çelik Tepsi 20x20cm,Vektörel Çelik Tepsi 20x20cm,https://www.laledevri.com.tr/shop/vektorel-celik-tepsi-20x20cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0025.jpg,out of stock,1161.00 TRY,,Lale Devri,new,4009,,no,,,Stainless Steel,,
GTÇ3,Sade Çelik Tepsi 22x32cm,Sade Çelik Tepsi 22x32cm,https://www.laledevri.com.tr/shop/sade-celik-tepsi-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0026.jpg,in stock,1247.00 TRY,,Lale Devri,new,4009,,no,,,Stainless Steel,,
GTÇ1G,Kanuni Gümüş Çelik Tepsi 22x32cm,Kanuni Gümüş Çelik Tepsi 22x32cm,https://www.laledevri.com.tr/shop/kanuni-gumus-celik-tepsi-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0027.jpg,in stock,1892.00 TRY,,Lale Devri,new,4009,Kanuni,no,,,Stainless Steel,Silver,
GTÇ1A,Kanuni Altın Çelik Tepsi 22x32cm,Kanuni Altın Çelik Tepsi 22x32cm,https://www.laledevri.com.tr/shop/kanuni-altin-celik-tepsi-22x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0028.jpg,in stock,2064.00 TRY,,Lale Devri,new,4009,Kanuni,no,,,Stainless Steel,Gold,
GT44,Venedik Tepsi 45x31cm,"Gümüş kaplama tepsi, geniş yüzeyi (45x31cm) ile ihtişamlı sunumlar için tasarlanmıştır. Kalabalık davet sofralarında, özel organizasyonlarda veya seçkin sunumlarda fark yaratmak isteyenler için ideal olan bu büyük boy tepsi; geniş hacmi sayesinde birden fazla ürünü şık bir şekilde sunma imkanı sağlar. Klasik zarafeti modern dokunuşlarla birleştiren tasarımı, lüks yaşam alanlarına güçlü bir karakter kazandırır.",https://www.laledevri.com.tr/shop/venedik-tepsi-45x31cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0029.jpg,in stock,33540.00 TRY,,Lale Devri,new,4009,Venice > Serving Trays,no,,,Silver Plated,,
GT40,Venedik Tepsi 14x32cm,"Gümüş kaplama tepsi, uzun formu (14x32cm) sayesinde şık sunumlar için özel olarak tasarlanmıştır. Özellikle kahve, çay ve ikram sunumlarında fark yaratmak isteyenler için ideal olan bu tepsi; dar ve uzun formu sayesinde hem fonksiyonel kullanım sağlar hem de sofralara sofistike bir dokunuş katar.",https://www.laledevri.com.tr/shop/venedik-tepsi-14x32cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0030.jpg,in stock,13631.00 TRY,,Lale Devri,new,4009,Venice > Serving Trays,no,,,Silver Plated,,
GL18,Lalezar Pasta Spatulası 27cm,Lalezar serisinden Pasta Spatulası. Sofralarınızda yerini almaya hazır zerafet.,https://www.laledevri.com.tr/shop/lalezar-pasta-spatulasi-27cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0031.jpg,in stock,15480.00 TRY,,Lale Devri,new,3802,Lalezar > Serving Pieces,no,,,Silver Plated,,
GL13,Lalezar Şeker Maşası,Lalezar serisinden Şeker Maşası. Sofralarınızda yerini almaya hazır zerafet.,https://www.laledevri.com.tr/shop/lalezar-seker-masasi/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0032.jpg,in stock,5805.00 TRY,,Lale Devri,new,3802,Lalezar > Serving Pieces,no,,,Silver Plated,,
GL12,Lalezar Çay Kaşığı Gümüş Kaplama,Lalezar Çay Kaşığı Gümüş Kaplama,https://www.laledevri.com.tr/shop/lalezar-cay-kasigi-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0033.jpg,in stock,2515.50 TRY,,Lale Devri,new,3939,Lalezar,no,,,Silver Plated,,
GL09,Lalezar Yemek Bıçağı 24cm Gümüş Kaplama,"Gümüş Kaplama Lalezar Yemek Bıçağı, zarif tasarımı ve üstün işçiliğiyle seçkin sofralar için tasarlanmıştır. Dengeli yapısı ve ergonomik formu sayesinde yemek servisinde hem estetik hem de konforlu bir kullanım sunar. Lalezar Yemek Bıçağı, aynı serinin yemek çatalı ve yemek kaşığıyla mükemmel uyum sağlayarak hem günlük sofralarda hem de özel davetlerde sofistike bir sofra düzeni oluşturmanıza yardımcı olur. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-yemek-bicagi-24cm-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0034.jpg,in stock,7654.00 TRY,,Lale Devri,new,3844,Lalezar > Cutlery Sets,no,,,Silver Plated,,
GL08,Lalezar Yemek Bıçağı 22cm Gümüş Kaplama,"Gümüş Kaplama Lalezar Yemek Bıçağı, zarif tasarımı ve üstün işçiliğiyle seçkin sofralar için tasarlanmıştır. Dengeli yapısı ve ergonomik formu sayesinde yemek servisinde hem estetik hem de konforlu bir kullanım sunar. Lalezar Yemek Bıçağı, aynı serinin yemek çatalı ve yemek kaşığıyla mükemmel uyum sağlayarak hem günlük sofralarda hem de özel davetlerde sofistike bir sofra düzeni oluşturmanıza yardımcı olur. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-yemek-bicagi-22cm-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0035.jpg,out of stock,5934.00 TRY,,Lale Devri,new,3844,Lalezar > Cutlery Sets,no,,,Silver Plated,,
GL07,Lalezar Pasta Bıçağı Gümüş Kaplama,"Gümüş Kaplama Lalezar Pasta Bıçağı, zarif tasarımı ve ince işçiliğiyle tatlı sunumlarına seçkin bir dokunuş katmak için tasarlanmıştır. Dengeli yapısı ve ergonomik formu sayesinde pasta, tatlı ve özel sunumlarda konforlu bir kullanım sağlar. Lalezar Pasta Bıçağı, aynı serinin pasta çatalı ve diğer sofra ürünleriyle kusursuz bir uyum sağlayarak hem günlük tatlı sunumlarında hem de özel davet sofralarında rafine bir atmosfer oluşturur. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-pasta-bicagi-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0036.jpg,out of stock,4773.00 TRY,,Lale Devri,new,3844,Lalezar > Cutlery Sets,no,,,Silver Plated,,
GL06,Lalezar Yemek Kaşığı 21cm Gümüş Kaplama,"Lalezar Yemek Kaşığı Gümüş kaplama, zarif tasarımı ve üstün işçiliğiyle seçkin sofralar için tasarlanmıştır. Dengeli yapısı ve ergonomik formu sayesinde yemek servisinde hem estetik hem de konforlu bir kullanım sunar. Lalezar Yemek Kaşığı, aynı serinin yemek çatalı ve yemek bıçağıyla mükemmel uyum sağlayarak hem günlük sofralarda hem de özel davetlerde sofistike bir sofra düzeni oluşturmanıza yardımcı olur. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-yemek-kasigi-21cm-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0037.jpg,in stock,10836.00 TRY,,Lale Devri,new,3939,Lalezar > Cutlery Sets,no,,,Silver Plated,,
GL05,Lalezar Yemek Kaşığı 20cm Gümüş Kaplama,"Gümüş Kaplama Lalezar Yemek Kaşığı, zarif tasarımı ve üstün işçiliğiyle seçkin sofralar için tasarlanmıştır. Dengeli yapısı ve ergonomik formu sayesinde yemek servisinde hem estetik hem de konforlu bir kullanım sunar. Lalezar Yemek Kaşığı, aynı serinin yemek çatalı ve yemek bıçağıyla mükemmel uyum sağlayarak hem günlük sofralarda hem de özel davetlerde sofistike bir sofra düzeni oluşturmanıza yardımcı olur. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-yemek-kasigi-20cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0038.jpg,out of stock,8320.50 TRY,,Lale Devri,new,3939,Lalezar > Cutlery Sets,no,,,Silver Plated,,
GL04,Lalezar Pasta Kaşığı Gümüş Kaplama,"Lalezar Pasta Kaşığı Gümüş kaplama, zarif tasarımı ve ince işçiliğiyle tatlı sunumlarına seçkin bir dokunuş katmak için tasarlanmıştır. Dengeli yapısı ve ergonomik formu sayesinde pasta, tatlı ve özel sunumlarda konforlu bir kullanım sağlar. Lalezar Pasta Kaşığı, aynı serinin pasta çatalı ve diğer sofra ürünleriyle kusursuz bir uyum sağlayarak hem günlük tatlı sunumlarında hem de özel davet sofralarında rafine bir atmosfer oluşturur. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-pasta-kasigi-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0039.jpg,in stock,3870.00 TRY,,Lale Devri,new,3939,Lalezar > Cutlery Sets,no,,,Silver Plated,,
GL03,Lalezar Yemek Çatalı 21cm Gümüş Kaplama,"Lalezar Yemek Çatalı Gümüş kaplama, zarif tasarımı ve dengeli formuyla sofistike sofralar için tasarlanmıştır. İncelikle işlenmiş detayları ve kaliteli gümüş kaplamasıyla her kullanımda estetik ve konforu bir araya getirir. Yemek kaşığı, yemek bıçağı ve diğer Lalezar Koleksiyon parçalarıyla kusursuz bir uyum sağlayarak davet sofralarınıza seçkin bir atmosfer kazandırır. Lalezar Koleksiyonu, adını Lale Devri’nde Osmanlı’nın batılaşma sürecinde, zevk ve estetik anlayışını yansıtan kültürel bir sembol olan Lalezar’dan almaktadır.",https://www.laledevri.com.tr/shop/lalezar-yemek-catali-21cm-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0040.jpg,in stock,8901.00 TRY,,Lale Devri,new,4015,Lalezar > Cutlery Sets,no,,,Silver Plated,,
